,Time,RSSI,File Name
78,11-07-2023 14:53:07:928,-36,0m_1
79,11-07-2023 14:53:09:928,-36,0m_1
80,11-07-2023 14:53:11:929,-32,0m_1
81,11-07-2023 14:53:13:928,-32,0m_1
82,11-07-2023 14:53:15:928,-32,0m_1
83,11-07-2023 14:53:17:928,-33,0m_1
84,11-07-2023 14:53:19:928,-33,0m_1
85,11-07-2023 14:53:21:928,-33,0m_1
86,11-07-2023 14:53:23:928,-33,0m_1
87,11-07-2023 14:53:25:928,-33,0m_1
88,11-07-2023 14:53:27:929,-33,0m_1
89,11-07-2023 14:53:29:929,-33,0m_1
90,11-07-2023 14:53:31:929,-35,0m_1
91,11-07-2023 14:53:33:930,-36,0m_1
92,11-07-2023 14:53:35:930,-36,0m_1
93,11-07-2023 14:53:37:930,-36,0m_1
94,11-07-2023 14:53:39:931,-35,0m_1
95,11-07-2023 14:53:41:931,-35,0m_1
96,11-07-2023 14:53:43:932,-36,0m_1
97,11-07-2023 14:53:45:932,-36,0m_1
0,Mac Address ,28:DE:65:6E:4E:16,0_e
1,Time, RSSI,0_e
2,11-07-2023 17:01:27:827,-75,0_e
3,11-07-2023 17:01:29:827,-75,0_e
4,11-07-2023 17:01:31:830,-75,0_e
5,11-07-2023 17:01:33:837,-75,0_e
6,11-07-2023 17:01:35:830,-75,0_e
7,11-07-2023 17:01:37:831,-75,0_e
8,11-07-2023 17:01:39:831,-75,0_e
9,11-07-2023 17:01:41:831,-75,0_e
10,11-07-2023 17:01:43:832,-75,0_e
11,11-07-2023 17:01:45:833,-75,0_e
12,11-07-2023 17:01:47:833,-75,0_e
13,11-07-2023 17:01:49:835,-73,0_e
14,11-07-2023 17:01:51:833,-73,0_e
15,11-07-2023 17:01:53:833,-73,0_e
16,11-07-2023 17:01:55:834,-73,0_e
17,11-07-2023 17:01:57:833,-72,0_e
18,11-07-2023 17:01:59:835,-72,0_e
19,11-07-2023 17:02:01:836,-72,0_e
20,11-07-2023 17:02:03:836,-72,0_e
21,11-07-2023 17:02:05:837,-72,0_e
22,11-07-2023 17:02:07:837,-72,0_e
23,11-07-2023 17:02:09:838,-72,0_e
24,11-07-2023 17:02:11:839,-72,0_e
25,11-07-2023 17:02:13:842,-72,0_e
26,11-07-2023 17:02:15:840,-72,0_e
27,11-07-2023 17:02:17:842,-72,0_e
28,11-07-2023 17:02:19:845,-72,0_e
